country,currency,estimateCurrency,exchange,finnhubIndustry,ipo,logo,marketCapitalization,name,phone,shareOutstanding,ticker,weburl,Symbol
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,1997-05-28,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959033376.png,16850.483191,Alexandria Real Estate Equities Inc,16265780777.0,174.76,ARE,https://www.are.com/,ARE
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,2001-01-26,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALGN.png,16111.62365091525,Align Technology Inc,14084701000.0,74.65,ALGN,https://www.aligntech.com/,ALGN
IE,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Building,2013-11-18,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALLE.png,11190.406258625782,Allegion PLC,353178103700.0,86.93,ALLE,https://www.allegion.com/corp/en/index.html,ALLE
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,1976-03-30,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/LNT.png,15208.63560974949,Alliant Energy Corp,16084583311.0,256.6,LNT,https://www.alliantenergy.com/,LNT
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1993-06-03,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALL.png,50836.97003973856,Allstate Corp,18474025000.0,264.8,ALL,https://www.allstateinvestors.com/,ALL
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Media,2004-08-19,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GOOG.png,2471880.640071519,Alphabet Inc,16502530000.0,12241.0,GOOGL,https://abc.xyz/,GOOGL
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Media,2004-08-19,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GOOG.png,2471880.640071519,Alphabet Inc,16502530000.0,12241.0,GOOGL,https://abc.xyz/,GOOG
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Tobacco,1923-03-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MO.png,89570.86564552366,Altria Group Inc,18042742200.0,1694.81,MO,https://www.altria.com/,MO
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Retail,1997-05-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMZN.png,2496473.7734802775,Amazon.com Inc,12062661000.0,10515.01,AMZN,https://www.amazon.com/,AMZN
GB,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Packaging,2019-06-11,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMCR.png,13817.481961769548,Amcor PLC,441179753200.0,1445.34,AMCR,https://www.amcor.com/,AMCR
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,1952-12-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AEE.png,25627.7368070396,Ameren Corp,13146213222.0,266.93,AEE,https://www.ameren.com/,AEE
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,1949-09-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AEP.png,52915.689292919065,American Electric Power Company Inc,16147161000.0,532.57,AEP,https://www.aep.com/,AEP
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,1977-05-18,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AXP.png,222977.94810364523,American Express Co,12126402000.0,704.44,AXP,https://www.americanexpress.com/,AXP
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1984-10-08,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AIG.png,45597.54161666983,American International Group Inc,12127707000.0,623.77,AIG,https://www.aig.com/home,AIG
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,1998-06-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959033886.png,86425.17277,American Tower Corp,16173757500.0,467.29,AMT,https://www.americantower.com/,AMT
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,2008-04-23,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AWK.png,24509.855534156613,American Water Works Company Inc,18569554001.0,194.89,AWK,https://www.amwater.com/,AWK
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,2005-09-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMP.png,52108.461486755295,Ameriprise Financial Inc,16126718001.0,97.01,AMP,https://www.ameriprise.com/,AMP
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Electrical Equipment,1930-07-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AME.png,42590.685037119205,AMETEK Inc,16106472121.0,231.31,AME,https://www.ametek.com/,AME
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,1983-06-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMGN.png,155277.1002730251,Amgen Inc,18054471000.0,537.53,AMGN,https://www.amgen.com/,AMGN
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Electrical Equipment,1991-11-08,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APH.png,84537.57614479515,Amphenol Corp,12032658900.0,1205.61,APH,https://www.amphenol.com/,APH
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,1979-04-03,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADI.png,101821.10576222136,Analog Devices Inc,17813294700.0,496.3,ADI,https://www.analog.com/,ADI
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1996-06-20,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ANSS.png,30325.894067637884,ANSYS Inc,18444626797.0,87.45,ANSS,https://www.ansys.com/,ANSS
IE,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1980-06-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AON.png,81073.90507072369,Aon PLC,35312666000.0,216.27,AON,https://www.aon.com/,AON
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Energy,1969-05-27,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APA.png,7942.771835206565,APA Corp (US),17132966000.0,369.95,APA,https://apacorp.com/,APA
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,2011-03-29,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APO.png,94559.24564985425,Apollo Global Management Inc,12125153200.0,565.82,APO,https://www.apollo.com/,APO
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1980-12-12,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAPL.png,3428785.6560837426,Apple Inc,14089961010.0,15115.82,AAPL,https://www.apple.com/,AAPL
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,1972-10-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMAT.png,145310.90897058832,Applied Materials Inc,14087275555.0,813.68,AMAT,https://www.appliedmaterials.com/,AMAT
IE,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Auto Components,2011-11-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APTV.png,14261.96804721051,Aptiv PLC,35312597013.0,235.04,APTV,https://www.aptiv.com,APTV
BM,USD,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,1995-09-13,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ACGL.png,35028.119129432685,Arch Capital Group Ltd,14412789250.0,376.24,ACGL,https://www.archgroup.com/,ACGL
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Food Products,1924-12-24,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADM.png,23936.24739819442,Archer-Daniels-Midland Co,13126348233.0,478.53,ADM,https://www.adm.com/,ADM
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Communications,2014-06-06,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ANET.png,140463.19073795885,Arista Networks Inc,14085475500.0,1259.76,ANET,https://www.arista.com/en/,ANET
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1984-06-21,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AJG.png,77189.02322055532,Arthur J. Gallagher & Co.,16307733800.0,249.8,AJG,https://www.ajg.com/,AJG
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,2004-02-04,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AIZ.png,10895.490367283612,Assurant Inc,17707631000.0,51.29,AIZ,https://www.assurant.com/,AIZ
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Telecommunication,1983-11-21,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/T.png,174000.75640953437,AT&T Inc,12108214105.0,7175.29,T,https://www.att.com/,T
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,1983-12-28,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ATO.png,22287.49820399832,Atmos Energy Corp,19729349227.0,155.4,ATO,https://www.atmosenergy.com/,ATO
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1985-04-30,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADSK.png,65839.44922591698,Autodesk Inc,14155075000.0,215.0,ADSK,https://www.autodesk.com/,ADSK
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Professional Services,1961-09-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADP.png,125039.57228939825,Automatic Data Processing Inc,19739745000.0,407.46,ADP,https://www.adp.com/,ADP
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,1991-04-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AZO.png,57599.72821239898,Autozone Inc,19014956500.0,16.78,AZO,https://www.autozone.com/,AZO
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,1994-03-11,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959034786.png,31506.96768,AvalonBay Communities Inc,17033296300.0,142.24,AVB,https://www.avaloncommunities.com/,AVB
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Packaging,1961-01-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AVY.png,14730.710958160773,Avery Dennison Corp,14405346000.0,80.35,AVY,https://www.averydennison.com/en/home.html,AVY
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Aerospace & Defense,2001-05-08,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AXON.png,50184.030070609246,Axon Enterprise Inc,14809910797.0,76.25,AXON,https://www.axon.com/,AXON
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Energy,1987-06-04,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BKR.png,46903.524076773494,Baker Hughes Co,17134398600.0,989.53,BKR,https://www.bakerhughes.com/,BKR
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Packaging,1973-12-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BLL.png,16616.35792263124,Ball Corp,13034693131.0,298.43,BALL,https://www.ball.com/,BALL
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Banking,1979-06-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BAC.png,351697.9413038661,Bank of America Corp,17043868486.0,7672.88,BAC,https://www.bankofamerica.com,BAC
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,1961-05-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BAX.png,16154.991884585992,Baxter International Inc,18442945418.0,510.18,BAX,https://www.baxter.com/,BAX
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,1963-09-25,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BDX.png,71808.82866689132,Becton Dickinson and Co,12018476800.0,290.01,BDX,https://www.bd.com/,BDX
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,1980-03-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BRK.B.png,1001712.4792635932,Berkshire Hathaway Inc,14023461400.0,1.44,BRK.A,https://www.berkshirehathaway.com/,BRK.B
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,1987-07-20,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BBY.png,17911.796209117634,Best Buy Co Inc,16122911000.0,213.8,BBY,https://investors.bestbuy.com/investor-relations/overview/default.aspx,BBY
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools & Services,1989-02-09,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/TECH.png,11448.15466021074,Bio-Techne Corp,16123798854.0,158.89,TECH,https://www.bio-techne.com/,TECH
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,1991-09-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BIIB.png,20741.690525091923,Biogen Inc,17814642000.0,145.72,BIIB,https://www.biogen.com/,BIIB
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,1999-10-01,N/A,157008.52214857508,BlackRock Inc,12128105300.0,0.0,BLK,https://www.blackrock.com/,BLK
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,2007-06-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BX.png,210199.9539226642,Blackstone Inc,12125835000.0,1212.88,BX,https://www.blackstone.com/,BX
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,2007-07-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BK.png,61139.15879353077,Bank of New York Mellon Corp,12124951784.0,727.08,BK,https://www.bnymellon.com/,BK
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Aerospace & Defense,1934-09-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BA.png,131581.72077072362,Boeing Co,17034146338.0,748.18,BA,https://www.boeing.com,BA
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,"Hotels, Restaurants & Leisure",1999-03-29,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BKNG.png,155319.5711445938,Booking Holdings Inc,12032998000.0,33.1,BKNG,https://www.bookingholdings.com/,BKNG
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Auto Components,1993-08-13,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BWA.png,6814.688019529781,Borgwarner Inc,12487549200.0,218.7,BWA,https://www.borgwarner.com/,BWA
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,1992-05-19,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BSX.png,151907.40284064016,Boston Scientific Corp,15086834000.0,1473.83,BSX,https://www.bostonscientific.com/en-US/Home.html,BSX
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceuticals,1929-07-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BMY.png,121589.19088598472,Bristol-Myers Squibb Co,16092524621.0,2028.18,BMY,https://www.bms.com/,BMY
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,2009-08-06,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AVGO.png,1020578.032230711,Broadcom Inc,16504276000.0,4687.36,AVGO,https://www.broadcom.com,AVGO
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Professional Services,2007-03-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BR.png,27895.647374702163,Broadridge Financial Solutions Inc,15164725400.0,116.89,BR,https://www.broadridge.com/,BR
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1997-12-08,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BRO.png,30180.047850949933,Brown & Brown Inc,13862529601.0,285.96,BRO,https://www.bbinsurance.com/,BRO
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Beverages,1980-03-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BF.B.png,15133.302708878826,Brown-Forman Corp,15025851100.0,472.66,BF.B,https://www.brown-forman.com/,BF.B
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Building,2005-06-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BLDR.png,18748.49333568257,Builders FirstSource Inc,12148803500.0,115.08,BLDR,https://www.bldr.com/,BLDR
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Food Products,2001-08-07,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950866353246.png,10494.372886350193,Bunge Global SA,N/A,133.48,BG,https://www.bunge.com/,BG
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,1997-06-18,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959035856.png,11564.216685,BXP Inc,16172363300.0,158.11,BXP,https://www.bxp.com/,BXP
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Logistics & Transportation,1997-10-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CHRW.png,11595.929141859484,CH Robinson Worldwide Inc,19529378500.0,118.21,CHRW,https://www.chrobinson.com/,CHRW
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1988-06-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CDNS.png,81812.65170327197,Cadence Design Systems Inc,14089431234.0,274.26,CDNS,https://www.cadence.com/,CDNS
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,"Hotels, Restaurants & Leisure",2014-09-19,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CZR.png,7549.42764219362,Caesars Entertainment Inc,17753280100.0,212.48,CZR,https://www.caesars.com/,CZR
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,1993-07-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959036796.png,12130.732821,Camden Property Trust,17133542500.0,106.68,CPT,https://www.camdenliving.com/,CPT
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Food Products,1954-11-16,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CPB.png,11366.905948864844,Campbell's Co,18002578443.0,298.11,CPB,https://www.campbells.com/,CPB
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,1994-11-16,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/COF.png,76592.99147611123,Capital One Financial Corp,17037201000.0,381.5,COF,https://www.capitalone.com/,COF
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,1983-08-04,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CAH.png,30275.717479526684,Cardinal Health Inc,16147573033.0,242.01,CAH,https://www.cardinalhealth.com/en.html,CAH
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,1997-02-07,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/KMX.png,12956.109593985988,Carmax Inc,18047470422.0,153.91,KMX,https://www.carmax.com/,KMX
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.","Hotels, Restaurants & Leisure",1987-07-31,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CCL.png,33968.31912500904,Carnival Corp,N/A,1298.97,CCL,https://www.carnivalcorp.com/,CCL
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Building,2020-03-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CARR.png,56659.90514827471,Carrier Global Corp,15613652000.0,897.23,CARR,https://www.carrier.com/,CARR
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Machinery,1929-12-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CAT.png,174557.24149120733,Caterpillar Inc,19728917700.0,482.8,CAT,https://www.caterpillar.com,CAT
US,USD,USD,BATS EXCHANGE,Financial Services,2010-05-27,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CBOE.png,20481.78,Cboe Global Markets Inc,13127867200.0,104.69,CBOE,https://www.cboe.com/,CBOE
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,2004-06-10,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CBRE.png,43628.984330370105,CBRE Group Inc,12149796100.0,306.02,CBRE,https://www.cbre.us,CBRE
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,2013-06-27,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CDW.png,26444.92169226474,CDW Corp,18474656000.0,133.26,CDW,https://www.cdw.com/,CDW
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,2005-01-21,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CE.png,7517.401308606699,Celanese Corp,19724434000.0,109.31,CE,https://www.celanese.com/,CE
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,1996-05-28,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABC.png,49322.77244967288,Cencora Inc,16107277000.0,193.28,COR,https://www.cencora.com/,COR
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,2001-12-13,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CNC.png,32725.348042676243,Centene Corp,13147254477.0,504.87,CNC,https://www.centene.com/,CNC
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,1943-08-16,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CNP.png,21187.65217533282,CenterPoint Energy Inc,17132073000.0,651.72,CNP,https://www.centerpointenergy.com/,CNP
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,2005-08-11,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CF.png,16091.622580826375,CF Industries Holdings Inc,18474052400.0,174.02,CF,https://www.cfindustries.com/,CF
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Life Sciences Tools & Services,2000-06-23,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CRL.png,8264.62927838808,Charles River Laboratories International Inc,17812226000.0,51.14,CRL,https://www.criver.com/,CRL
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,1987-09-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/SCHW.png,151478.4950469415,Charles Schwab Corp,18178595000.0,1830.56,SCHW,https://www.schwab.com/,SCHW
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Media,2009-12-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CHTR.png,54109.95366885148,Charter Communications Inc,12039057801.0,142.2,CHTR,https://corporate.charter.com/,CHTR
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy,1921-06-24,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CVX.png,268377.63864701067,Chevron Corp,19258421000.0,1797.09,CVX,https://www.chevron.com/,CVX
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.","Hotels, Restaurants & Leisure",2006-01-26,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CMG.png,79520.92642681954,Chipotle Mexican Grill Inc,19495244000.0,1362.59,CMG,https://www.chipotle.com/,CMG
CH,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1993-03-25,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CB.png,110420.6349163261,Chubb Ltd,41434567600.0,403.1,CB,https://www.chubb.com/,CB
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,1980-03-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CHD.png,26075.086083455277,Church & Dwight Co Inc,16098061200.0,245.0,CHD,https://churchdwight.com/,CHD
